,title,picture_url,myanimelist_id,rank,score,type,aired_on
0,Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006.jpg,52991,1,9.37,TV (28 eps),Sep 2023 - Mar 2024
1,Fullmetal Alchemist: Brotherhood,https://cdn.myanimelist.net/images/anime/1208/94745.jpg,5114,2,9.09,TV (64 eps),Apr 2009 - Jul 2010
2,Steins;Gate,https://cdn.myanimelist.net/images/anime/1935/127974.jpg,9253,3,9.07,TV (24 eps),Apr 2011 - Sep 2011
3,Gintama°,https://cdn.myanimelist.net/images/anime/3/72078.jpg,28977,4,9.06,TV (51 eps),Apr 2015 - Mar 2016
4,Shingeki no Kyojin Season 3 Part 2,https://cdn.myanimelist.net/images/anime/1517/100633.jpg,38524,5,9.05,TV (10 eps),Apr 2019 - Jul 2019
5,Gintama: The Final,https://cdn.myanimelist.net/images/anime/1245/116760.jpg,39486,6,9.04,Movie (1 eps),Jan 2021 - Jan 2021
6,Hunter x Hunter (2011),https://cdn.myanimelist.net/images/anime/1337/99013.jpg,11061,7,9.04,TV (148 eps),Oct 2011 - Sep 2014
7,Gintama',https://cdn.myanimelist.net/images/anime/4/50361.jpg,9969,8,9.03,TV (51 eps),Apr 2011 - Mar 2012
8,Bleach: Sennen Kessen-hen,https://cdn.myanimelist.net/images/anime/1908/135431.jpg,41467,9,9.02,TV (13 eps),Oct 2022 - Dec 2022
9,Ginga Eiyuu Densetsu,https://cdn.myanimelist.net/images/anime/1976/142016.jpg,820,10,9.02,OVA (110 eps),Jan 1988 - Mar 1997
10,Gintama': Enchousen,https://cdn.myanimelist.net/images/anime/1452/123686.jpg,15417,11,9.02,TV (13 eps),Oct 2012 - Mar 2013
11,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://cdn.myanimelist.net/images/anime/1160/122627.jpg,43608,12,9.01,TV (13 eps),Apr 2022 - Jun 2022
12,Fruits Basket: The Final,https://cdn.myanimelist.net/images/anime/1085/114792.jpg,42938,13,8.98,TV (13 eps),Apr 2021 - Jun 2021
